USERID,MOVIEID
25,445
12,64
10,4
10,2
21,325
18,231
15,166
10,29
24,418
27,502
14,138
22,369
18,249
24,401
13,93
27,514
22,349
12,71
27,513
28,515
17,227
20,291
15,156
19,262
11,57
30,588
16,179
12,75
10,20
29,552
11,51
14,120
10,8
12,62
28,516
15,150
21,327
17,212
27,509
24,426
25,444
11,48
26,472
20,300
19,270
10,12
22,370
25,450
13,95
13,94
23,394
14,120
17,211
10,21
10,11
12,78
12,76
20,309
16,193
18,250
17,218
17,206
21,317
28,536
25,431
13,91
20,312
12,61
21,340
11,40
17,222
25,434
24,406
17,201
25,453
24,405
20,290
23,391
12,63
25,451
21,317
19,274
20,295
16,197
25,438
15,163
28,532
27,499
29,543
28,533
15,167
25,429
14,124
30,599
22,350
11,51
29,564
27,491
26,480
21,319
17,207
16,198
20,313
15,150
28,520
16,179
16,198
20,309
30,594
27,513
24,416
19,273
14,137
18,252
20,300
10,25
18,251
14,121
27,487
18,238
25,432
10,26
16,179
13,107
21,333
29,550
12,69
20,290
14,126
24,409
13,109
14,130
25,448
13,107
20,306
19,265
11,45
15,156
28,538
30,572
25,435
14,123
23,376
15,163
10,2
19,266
12,72
26,481
29,551
21,324
11,39
27,513
25,441
13,96
12,81
15,148
24,425
15,146
25,443
18,239
30,576
11,45
12,85
28,539
10,28
26,466
21,343
23,372
30,599
14,135
29,561
21,325
14,126
23,393
30,579
19,276
12,79
24,417
30,594
16,199
28,516
12,76
23,379
29,563
25,446
19,276
11,47
23,396
11,47
20,290
17,205
29,545
23,386
27,504
29,546
17,213
17,212
13,102
22,367
17,207
16,181
11,55
13,111
22,357
14,138
28,517
23,386
22,348
14,134
10,6
15,153
29,547
11,49
21,320
22,362
18,232
20,311
28,538
10,8
21,339
15,147
17,226
27,494
17,221
19,265
16,191
11,31
19,281
13,111
18,233
11,33
21,329
15,152
26,471
17,222
11,34
15,149
26,472
27,499
24,420
14,137
14,139
16,179
22,359
13,113
12,85
19,284
15,171
25,447
22,368
19,269
13,86
29,562
13,108
27,502
11,53
15,167
10,14
10,16
26,480
10,17
13,97
22,359
26,461
21,315
25,434
10,10
26,478
19,270
11,35
12,64
22,370
24,407
18,235
29,556
29,559
22,347
23,380
29,557
24,418
29,565
17,224
28,529
28,522
24,401
25,439
13,90
18,233
28,522
20,309
15,147
12,77
15,145
23,386
30,579
15,146
24,417
28,520
23,390
27,509
14,127
18,237
14,134
30,594
29,548
14,128
19,276
27,496
10,24
15,162
10,18
15,148
25,431
12,67
14,123
28,542
25,452
15,162
11,40
11,47
30,591
29,548
29,572
18,230
15,151
13,103
11,31
30,598
20,313
18,234
19,281
17,222
17,224
12,75
17,222
30,596
28,536
24,411
21,336
12,60
12,86
10,3
30,582
18,257
16,184
11,44
15,166
16,189
18,242
16,181
18,253
16,181
28,532
15,144
16,191
28,529
20,308
21,332
23,398
25,456
20,309
24,418
22,361
16,181
27,493
19,271
10,18
15,157
13,99
29,552
24,401
23,394
13,93
28,530
15,164
23,400
30,582
24,414
28,541
24,417
29,564
12,68
26,479
12,65
18,247
17,208
13,100
30,598
11,43
17,223
15,170
19,278
12,71
27,498
16,174
24,412
26,465
27,505
11,46
10,26
25,446
17,218
18,257
29,557
11,35
24,401
16,175
25,433
14,128
27,507
21,325
14,140
12,64
27,504
21,339
29,567
18,247
28,527
11,52
18,249
27,509
16,192
18,241
18,258
22,352
12,84
28,543
11,48
19,274
30,583
10,11
19,285
12,82
21,325
13,102
17,228
18,251
16,193
17,220
10,1
10,15
14,125
13,94
16,194
10,3
11,29
25,429
22,346
23,388
15,146
10,10
13,103
19,282
20,305
13,87
13,114
17,202
20,294
13,93
10,12
18,244
26,470
12,73
29,568
18,249
17,211
21,337
15,144
12,74
12,69
24,410
20,292
22,371
19,259
13,90
27,491
25,449
23,373
17,229
23,380
24,412
16,185
28,541
20,288
25,447
28,538
15,162
28,532
27,498
19,275
15,158
14,137
24,404
27,504
29,563
12,77
16,186
14,122
28,515
13,112
30,578
16,193
21,329
20,300
18,249
26,470
28,531
23,377
11,46
29,572
11,33
18,235
14,136
18,230
12,65
21,335
20,297
24,417
30,593
23,399
25,444
29,551
10,13
16,182
23,381
10,28
22,350
28,543
13,90
18,235
24,407
20,291
13,107
17,202
24,424
20,313
16,192
19,277
24,414
23,376
16,183
18,256
15,144
26,474
28,540
28,516
19,268
18,247
30,599
11,42
25,440
28,516
24,425
26,474
28,536
14,134
29,570
27,509
11,40
21,336
19,269
24,428
26,471
17,205
28,527
21,327
12,64
17,222
23,393
17,214
21,318
25,433
25,432
27,514
28,535
16,175
14,124
28,531
22,356
25,440
22,372
28,527
19,272
27,512
17,209
13,96
28,519
27,497
11,51
22,370
14,122
29,549
11,52
17,202
12,75
19,281
21,339
17,217
21,330
24,407
23,388
16,175
28,540
29,568
25,440
20,298
16,185
20,299
30,588
17,203
23,393
21,342
25,436
25,441
14,128
22,368
30,578
16,193
13,99
29,551
15,167
20,287
20,305
25,431
19,260
20,299
10,6
25,444
15,148
30,588
23,385
17,207
30,577
23,399
16,185
17,227
16,188
12,84
30,592
25,441
12,81
21,321
15,170
29,547
27,500
11,50
10,13
10,17
13,115
12,69
11,47
12,66
18,238
26,467
30,574
19,261
27,512
22,361
24,407
14,125
10,23
20,294
20,314
10,18
20,289
16,197
25,430
11,43
20,311
21,323
14,135
30,575
16,172
17,204
19,280
28,524
13,102
22,372
15,170
26,469
20,299
26,471
24,419
13,107
13,104
20,307
18,251
16,199
27,496
29,563
19,275
15,147
13,87
27,494
21,329
27,494
30,600
28,530
28,522
11,48
25,434
30,575
21,326
12,83
27,509
15,144
30,576
22,364
30,593
21,333
17,221
10,19
26,473
24,401
30,594
27,511
30,575
11,30
30,597
29,548
16,175
28,515
25,433
14,122
26,481
17,219
28,517
22,354
20,294
18,237
22,360
20,312
27,510
26,462
17,228
11,44
15,168
26,485
11,31
11,56
11,47
17,219
13,111
28,526
14,142
30,594
21,341
18,241
21,326
10,15
26,469
12,80
24,425
27,501
25,450
19,262
16,187
11,29
19,271
18,250
24,416
21,318
10,11
24,421
19,269
22,370
15,148
18,251
16,194
28,523
21,325
23,390
17,210
26,472
27,492
30,592
23,379
26,461
20,302
10,17
15,144
16,193
22,360
11,38
27,503
22,364
21,331
13,102
16,182
14,137
29,548
30,577
10,11
13,96
16,177
30,582
25,448
27,486
16,192
20,305
24,418
20,287
17,205
11,48
15,155
28,528
11,55
14,124
29,553
24,419
19,269
23,386
29,568
29,545
23,396
26,475
14,116
22,362
27,488
17,223
24,409
25,449
30,577
30,583
27,493
30,583
24,404
28,536
19,283
10,21
22,352
30,576
20,313
21,327
17,216
23,392
12,62
17,208
19,262
28,531
13,105
22,360
29,563
23,396
22,345
25,446
14,124
23,395
19,261
20,314
15,146
26,475
11,52
18,256
23,377
14,124
10,19
10,16
23,393
21,329
18,252
14,120
21,330
20,292
11,36
22,369
21,329
26,472
10,24
20,294
14,130
24,424
22,366
21,332
24,410
12,84
14,125
23,375
30,573
11,38
13,94
14,142
24,407
14,135
22,346
19,271
15,162
21,321
19,276
13,101
26,468
29,572
14,120
16,179
19,277
22,347
14,122
27,494
17,218
26,479
29,561
13,99
20,308
27,501
28,538
24,404
25,438
29,565
19,270
15,155
14,135
12,59
16,187
25,441
21,331
11,51
12,61
20,297
15,165
23,377
20,309
24,414
30,572
13,112
11,44
10,14
28,531
29,550
19,284
19,261
18,252
17,209
28,531
28,528
10,5
20,291
19,261
14,127
28,522
21,331
15,168
17,220
10,9
22,353
14,131
29,569
20,289
21,315
28,524
12,79
13,92
30,598
20,299
18,252
27,500
29,547
20,303
13,88
13,105
10,21
26,485
25,432
10,29
19,267
25,431
22,354
17,212
16,190
14,142
24,402
17,223
18,257
25,446
29,563
22,352
11,45
30,584
23,374
28,535
26,468
22,351
30,593
26,472
15,169
29,565
13,99
28,536
23,381
25,445
13,111
11,47
10,27
24,427
27,499
13,88
30,591
14,124
11,36
21,318
14,124
17,226
18,238
30,592
23,391
17,203
21,315
24,427
24,427
22,367
13,93
28,530
15,153
30,592
26,471
14,137
27,501
14,138
18,235
11,32
22,360
13,102
22,371
14,122
11,51
26,473
30,596
27,496
23,390
19,263
12,65
25,438
15,152
16,200
21,319
21,329
15,155
27,493
27,505
13,90
30,582
10,7
13,107
14,116
29,546
26,472
21,321
21,334
29,566
28,516
21,331
30,577
20,288
29,544
28,529
20,309
23,397
17,209
18,256
27,500
20,287
18,231
16,192
17,215
27,511
18,256
18,231
15,160
25,440
15,144
11,47
25,449
29,572
14,130
16,180
21,338
10,9
25,446
10,4
19,259
10,5
30,595
26,483
12,72
19,274
10,27
24,427
13,88
23,394
10,10
13,98
18,254
12,76
28,532
19,261
17,201
29,551
12,85
13,90
28,515
19,265
14,118
18,239
22,364
20,306
17,225
23,377
17,223
24,419
25,456
13,113
13,100
28,541
20,292
20,296
17,205
21,340
10,10
18,242
23,385
30,577
27,487
16,185
14,134
25,457
28,516
26,473
29,565
30,597
22,356
28,542
18,253
25,455
21,334
22,371
15,161
25,440
22,360
26,463
27,510
24,411
23,396
23,397
29,564
28,515
27,491
26,470
12,66
15,158
24,417
16,176
24,426
14,141
15,162
23,374
23,380
28,519
29,551
15,153
12,75
15,155
14,115
21,339
23,372
10,5
23,385
23,398
20,286
30,588
13,98
28,528
10,2
10,8
26,468
18,249
13,97
12,61
27,491
11,42
30,599
10,7
22,362
11,56
23,375
10,7
27,512
25,456
16,183
26,468
10,8
30,594
30,586
28,531
14,142
20,302
30,582
28,535
17,213
30,577
29,553
11,40
23,376
24,421
19,259
21,342
10,19
25,440
13,109
26,480
21,315
22,355
16,181
22,368
12,62
26,480
29,545
24,417
11,34
13,89
18,257
19,282
14,121
12,70
19,278
29,562
28,522
14,119
20,312
27,494
10,16
19,269
14,139
11,51
15,170
30,584
20,302
16,192
12,76
12,62
12,83
22,358
17,213
21,338
18,258
23,397
28,536
27,514
18,232
30,593
21,328
30,588
13,113
12,59
21,316
24,410
18,247
12,60
27,510
19,259
28,523
15,158
26,463
13,93
11,30
15,168
28,523
21,337
20,312
24,419
13,111
19,274
17,227
11,39
18,248
17,209
27,493
21,332
27,512
12,76
26,469
15,148
13,111
15,148
27,494
29,546
28,522
26,471
11,38
15,147
30,600
21,327
17,204
11,56
13,87
21,316
11,52
26,469
21,316
28,527
26,464
29,563
14,122
20,288
14,122
24,413
10,24
20,291
10,24
19,285
21,340
30,599
14,140
27,492
22,356
27,509
22,347
29,547
16,196
19,266
14,142
24,418
21,339
20,295
17,211
28,525
27,492
10,21
13,90
26,469
30,580
24,422
28,534
12,76
10,14
27,507
19,283
28,541
15,171
17,219
11,36
28,540
20,301
26,484
16,182
14,121
10,29
15,145
23,392
12,72
20,287
28,537
28,530
26,461
18,237
16,192
24,426
19,278
11,57
14,143
15,144
11,57
30,573
10,15
11,49
20,293
19,274
27,492
14,130
19,277
28,527
27,503
22,352
26,478
11,36
13,93
27,493
29,545
10,26
10,3
21,343
20,289
29,545
22,363
22,348
12,73
26,464
14,127
28,516
26,477
23,378
20,297
22,370
27,498
30,572
21,320
20,313
11,53
15,169
19,263
14,116
23,390
17,210
19,260
29,554
26,466
27,513
30,579
24,407
10,12
26,464
17,212
23,379
13,102
30,589
26,486
21,335
21,342
19,263
18,254
26,483
22,362
14,115
25,452
30,590
27,493
19,271
27,488
21,320
29,546
17,218
24,418
22,368
24,407
19,284
18,250
21,321
25,444
19,280
11,44
22,355
11,52
20,312
20,308
12,82
18,236
22,348
12,62
22,349
16,184
23,400
11,34
25,431
18,254
25,440
14,119
24,425
15,160
13,89
26,478
18,257
27,499
11,55
29,563
17,203
16,196
11,49
25,452
27,507
20,291
17,212
18,255
17,212
24,405
17,228
20,310
15,146
18,231
28,539
26,459
23,381
20,309
11,56
17,225
18,257
22,344
30,599
27,504
13,102
29,558
17,225
25,435
18,256
19,264
20,304
20,291
18,250
27,497
28,524
25,448
22,349
30,587
20,303
25,434
15,158
20,297
30,599
22,345
12,84
22,366
22,347
16,178
24,420
29,551
25,447
17,203
10,2
21,336
24,419
22,352
26,472
29,545
21,330
26,468
17,208
26,480
16,190
20,295
16,174
16,191
28,540
25,441
23,388
21,334
23,396
17,224
18,237
10,5
16,178
30,587
29,556
25,445
21,335
29,571
27,494
26,485
28,520
12,68
12,63
17,228
12,79
27,498
18,245
27,501
28,530
13,114
21,316
26,476
20,299
14,143
16,195
10,8
24,429
26,484
30,590
24,404
16,199
30,597
25,445
15,146
19,270
14,131
21,323
25,432
15,146
28,534
18,232
15,156
28,526
27,495
21,329
10,28
23,389
22,347
27,515
25,441
16,196
10,12
27,513
25,448
14,123
27,495
18,250
13,89
15,164
19,258
27,500
13,105
18,238
16,194
24,408
24,423
29,560
16,178
17,213
10,1
24,412
15,164
29,564
13,111
12,65
21,322
25,445
19,284
29,546
26,469
24,422
12,71
23,374
11,36
19,262
15,153
10,24
29,552
29,565
14,136
18,248
28,523
15,165
30,600
22,367
14,133
12,78
16,195
22,366
20,297
23,391
14,124
26,485
15,148
14,139
16,184
21,322
30,590
23,385
16,200
14,133
24,414
15,154
10,5
24,416
26,463
10,25
25,445
25,455
11,44
19,264
20,310
26,470
16,192
18,234
22,354
22,348
25,456
23,383
22,354
25,449
24,410
11,46
24,413
27,504
29,571
28,524
27,488
10,12
24,407
19,277
13,95
11,47
16,187
26,483
19,258
23,373
21,326
15,167
20,291
18,236
19,270
28,538
10,19
13,88
14,115
30,585
24,406
24,403
20,306
11,35
21,316
11,41
28,529
12,77
22,371
16,190
26,464
14,129
18,243
10,11
28,534
25,442
16,191
29,559
22,369
28,528
17,211
26,486
12,85
11,33
14,128
20,304
27,500
20,291
20,292
11,49
16,175
12,68
11,50
12,79
26,486
30,591
15,150
15,163
26,465
18,244
22,372
26,479
12,81
26,462
13,88
18,232
19,261
21,338
13,102
27,490
19,275
21,343
17,203
17,207
15,166
25,437
28,523
27,507
19,272
11,55
24,420
16,192
14,128
11,46
24,425
26,472
24,401
29,547
21,340
15,172
28,533
13,112
30,578
30,592
29,561
25,429
26,480
15,153
18,235
10,26
20,296
21,336
30,585
14,122
16,185
29,567
16,188
25,436
30,594
21,340
27,514
24,403
21,329
