,USERID,MOVIEID,RATING
0,1,1,4.0
1,1,3,4.0
2,1,6,4.0
3,1,47,5.0
4,1,50,5.0
5,1,70,3.0
6,1,101,5.0
7,1,110,4.0
8,1,151,5.0
9,1,157,5.0
10,1,163,5.0
11,1,216,5.0
12,1,223,3.0
13,1,231,5.0
14,1,235,4.0
15,1,260,5.0
16,1,296,3.0
17,1,316,3.0
18,1,333,5.0
19,1,349,4.0
20,1,356,4.0
21,1,362,5.0
22,1,367,4.0
23,1,423,3.0
24,1,441,4.0
25,1,457,5.0
26,1,480,4.0
27,1,500,3.0
28,1,527,5.0
29,1,543,4.0
30,1,552,4.0
31,1,553,5.0
32,1,590,4.0
33,1,592,4.0
34,1,593,4.0
35,1,596,5.0
36,1,608,5.0
37,1,648,3.0
38,1,661,5.0
39,1,673,3.0
40,1,733,4.0
41,1,736,3.0
42,1,780,3.0
43,1,804,4.0
44,1,919,5.0
45,1,923,5.0
46,1,940,5.0
47,1,943,4.0
48,1,954,5.0
49,1,1009,3.0
50,1,1023,5.0
51,1,1024,5.0
52,1,1025,5.0
53,1,1029,5.0
54,1,1030,3.0
55,1,1031,5.0
56,1,1032,5.0
57,1,1042,4.0
58,1,1049,5.0
59,1,1060,4.0
60,1,1073,5.0
61,1,1080,5.0
62,1,1089,5.0
63,1,1090,4.0
64,1,1092,5.0
65,1,1097,5.0
66,1,1127,4.0
67,1,1136,5.0
68,1,1196,5.0
69,1,1197,5.0
70,1,1198,5.0
71,1,1206,5.0
72,1,1208,4.0
73,1,1210,5.0
74,1,1213,5.0
75,1,1214,4.0
76,1,1219,2.0
77,1,1220,5.0
78,1,1222,5.0
79,1,1224,5.0
80,1,1226,5.0
81,1,1240,5.0
82,1,1256,5.0
83,1,1258,3.0
84,1,1265,4.0
85,1,1270,5.0
86,1,1275,5.0
87,1,1278,5.0
88,1,1282,5.0
89,1,1291,5.0
90,1,1298,5.0
91,1,1348,4.0
92,1,1377,3.0
93,1,1396,3.0
94,1,1408,3.0
95,1,1445,3.0
96,1,1473,4.0
97,1,1500,4.0
98,1,1517,5.0
